alpha_s,beta_s,g_sigma_s,alpha_f,beta_f,g_sigma_f,sub,cnd,rot_dir
0.2333,0.9845,2.6935,0.2379,0.3728,24.6723,1,1,ccw
0.0145,0.9998,24.5931,0.352,0.9094,22.526,2,2,cw
0.1087,1,29.8986,0.2734,0.3648,50.9035,3,2,ccw
0.1572,0.9882,54.1732,0.5469,0.9829,12.6919,4,1,ccw
0.1443,0.9987,59.5656,0.2078,0.2376,13.3185,5,2,cw
0.2053,0.9953,18.5801,0.2695,0.567,4.9314,6,2,ccw
0.0681,0.9976,16.0029,0.09,0.9975,49.7826,7,0,ccw
0.2299,0.9947,21.4435,0.2697,0.9918,6.5063,8,2,cw
0.1386,0.9958,57.9202,0.159,0.1192,42.5192,9,0,cw
0.2727,0.997,47.7109,0.3706,0.988,7.1651,10,0,ccw
0.2147,0.9921,48.3129,0.2263,0.2456,7.2487,11,1,cw
0.065,1,23.0039,0.1828,0.3893,6.3825,12,0,ccw
0.1055,1,44.9956,0.2113,0.5362,5.1509,13,1,cw
0.005,1,46.7139,0.3385,0.8538,47.9355,14,1,ccw
0.0679,0.9933,59.2332,0.1602,0.4441,23.8228,15,0,ccw
0.1492,0.9995,54.3669,0.2821,0.9933,12.3883,16,0,ccw
0.0841,1,16.0679,0.4049,0.2951,3.6513,17,1,ccw
0.2517,1,30.1934,0.2584,0.5007,9.1945,18,0,cw
0.2771,0.9999,59.2303,0.3805,0.827,1.448,19,1,ccw
0.159,0.9984,60,0.3071,0.142,18.2954,20,1,cw
0.1376,1,59.6667,0.145,0.2381,3.689,21,1,ccw
0.1225,0.9933,20.1765,0.1475,0.3612,20.4952,22,2,cw
0.0527,0.9814,25.4169,0.1749,0.4778,12.7357,23,0,cw
0.0619,0.9982,59.3806,0.2112,0.4673,46.3559,24,1,ccw
0.0777,0.9906,18.9865,0.1688,0.4182,48.4746,25,0,cw
0.1894,0.9995,60,0.4111,0.6598,7.2032,26,0,cw
0.1049,0.9707,37.7493,0.1836,0.2127,57.9564,27,0,cw
0.1421,0.9702,43.7102,0.2058,0.3098,42.5929,28,1,cw
0.1042,0.9949,50.1916,0.5487,0.9876,7.3368,29,2,ccw
0.059,0.9915,59.2162,0.4274,0.6809,13.1865,30,2,cw
0.1383,0.9935,5.7983,0.1635,0.2466,51.3195,31,2,ccw
0.0237,0.9994,58.1388,0.0328,0.1159,12.9769,32,0,cw
0.2407,0.9996,59.4792,0.2682,0.3013,7.9028,33,2,ccw
0.1928,0.9919,13.093,0.2171,0.4985,58.8077,34,1,ccw
0.0926,0.991,23.1547,0.1476,0.3228,33.416,35,0,ccw
0.0697,0.9934,9.3837,0.2359,0.1813,50.6202,36,0,ccw
0.0578,0.9944,25.2111,0.1266,0.4273,4.5721,37,1,ccw
0.2183,0.9962,20.0549,0.2234,0.1589,45.19,38,0,cw
0.0562,1,38.3365,0.2568,0.5469,5.9817,39,0,cw
0.0599,1,58.7022,0.1458,0.2829,11.2736,40,2,cw
0.064,1,33.9193,0.149,0.3962,5.4677,41,1,ccw
0.0571,0.9874,8.6297,0.198,0.4377,51.5127,42,2,cw
0.0936,0.9999,39.3579,0.244,0.2349,57.058,43,1,ccw
0.0588,1,57.1797,0.1137,0.5532,9.7753,44,2,cw
0.0967,0.99,22.8937,0.1533,0.2809,17.0338,45,2,cw
0.1066,0.9911,48.9056,0.5468,0.9787,0.8133,46,2,cw
0.0701,1,29.4241,0.2221,0.2718,47.1883,47,2,ccw
0.1863,0.9998,55.789,0.4922,0.9891,7.8116,48,1,cw
